run number, parent duration, child duration
744,2321,2410
745,2267,2334
746,2305,2369
747,2354,2422
748,2560,2632
749,2389,2430
750,2361,2430
751,2199,2266
752,2307,2382
753,2621,2717
754,2452,2516
755,2353,2406
756,2287,2356
757,2335,2406
758,2904,2969
759,2307,2373
760,2306,2375
761,2485,2562
762,2348,2416
763,2660,2722
764,2366,2442
765,2342,2384
766,2377,2440
767,2293,2364
768,2704,2747
769,2409,2472
770,2343,2409
771,2379,2444
772,2406,2476
773,2818,2870
774,2407,2453
775,2702,2743
776,2395,2444
777,2417,2460
778,2623,2687
779,2469,2551
780,2355,2425
781,2330,2397
782,2530,2577
783,2821,2898
784,2418,2486
785,2556,2603
786,2357,2408
787,2459,2519
788,2577,2641
789,2388,2453
790,2381,2451
791,2452,2523
792,2707,2802
793,2459,2537
794,2530,2597
795,2374,2438
796,2423,2492
797,2799,2865
798,2423,2495
799,2400,2470
800,2416,2484
801,6683,6743
802,2409,2479
803,2355,2425
804,2439,2510
805,2747,2794
806,3229,3273
807,2476,2522
808,2515,2558
809,2521,2564
810,3031,3070
811,2490,2536
812,2437,2503
813,2463,2533
814,2499,2571
815,2789,2848
816,2624,2685
817,2579,2644
818,2481,2549
819,2678,2719
820,2725,2788
821,2472,2553
822,2467,2532
823,2594,2663
824,3097,3158
825,2548,2619
826,2463,2532
827,2557,2622
828,2603,2646
829,3103,3173
830,2525,2593
831,2495,2553
832,2476,2541
833,3616,3672
834,2593,2670
835,2499,2566
836,2496,2542
837,3128,3185
838,2665,2733
839,2611,2675
840,2578,2625
841,2633,2703
842,3075,3142
843,2620,2691
844,2565,2633
845,2627,2673
846,2739,2800
847,2899,2964
848,2556,2601
849,2501,2572
850,2596,2689
851,3045,3105
852,2551,2615
853,2655,2720
854,5060,5117
855,2976,3038
856,2638,2705
857,2572,2646
858,2687,2733
859,3049,3113
860,2627,2694
861,2561,2629
862,2576,2642
863,2790,2829
864,3004,3083
865,2632,2698
866,2664,2710
867,2652,2723
868,3943,3991
869,2567,2651
870,2596,2664
871,2649,2717
872,3154,3216
873,2694,2759
874,2620,2688
875,2706,2774
876,3156,3203
877,2727,2791
878,2631,2702
879,2630,2697
880,2854,2901
881,3105,3170
882,2712,2776
883,2679,2726
884,2689,2729
885,3157,3221
886,2740,2809
887,2662,2730
888,2647,2716
889,2769,2887
890,2960,3024
891,2714,2781
892,2678,2748
893,2730,2799
894,3246,3297
895,3387,3451
896,2880,2936
897,2730,2865
898,3053,3118
899,2710,2793
900,2676,2763
901,2745,2818
902,3245,3308
903,2751,2819
904,2737,2776
905,2773,2823
906,2954,3019
907,2932,2996
908,2748,2818
909,2747,2814
910,2819,2856
911,3515,3578
912,2769,2835
913,2698,2763
914,2796,2870
915,3415,3480
916,2785,2851
917,2758,2825
918,2769,2840
919,3598,3681
920,2933,2996
921,2750,2802
922,2848,2920
923,3154,3225
924,2926,3009
925,2792,2842
926,2771,2816
927,2958,3042
928,3107,3174
929,2788,2841
930,2738,2806
931,2835,2905
932,3301,3365
933,2788,2860
934,2762,2830
935,2953,3021
936,3344,3401
937,2860,2928
938,2819,2887
939,2787,2829
940,3457,3520
941,2840,2911
942,2784,2852
943,2869,2954
944,2983,3042
945,3073,3136
946,2983,3046
947,2883,2952
948,3032,3088
949,3008,3071
950,2833,2900
951,2947,3017
952,2990,3031
953,3119,3181
954,2931,2998
955,2884,2955
956,3058,3110
957,3231,3288
958,2851,2926
959,2842,2908
960,3013,3090
961,3391,3453
962,3095,3162
963,2868,2934
964,2990,3035
965,3244,3297
966,3079,3139
967,3274,3342
968,3299,3382
969,2976,3053
970,2924,2998
971,2970,3012
972,3347,3407
973,2945,3015
974,2867,2931
975,2972,3063
976,3096,3141
977,3119,3185
978,2987,3053
979,3124,3202
980,3132,3199
981,3054,3122
982,2960,3025
983,2928,3045
984,3369,3428
985,3206,3277
986,2935,3006
987,3063,3134
988,3244,3295
989,3104,3170
990,2952,3019
991,3017,3087
992,3158,3226
993,3318,3394
994,3099,3165
995,3186,3229
996,3626,3703
997,2997,3069
998,2997,3062
999,3128,3213
